ID,°×³ãµÆ,Time,AcPower,×Ü
2.02E+11,80599,1690371137,1583679,1664278
2.02E+11,80847,1690371138,1582873,1663720
2.02E+11,80976,1690371139,1582086,1663062
2.02E+11,81266,1690371140,1582109,1663375
2.02E+11,80963,1690371141,1580344,1661307
2.02E+11,80930,1690371142,1582302,1663232
2.02E+11,80863,1690371143,1582315,1663178
2.02E+11,80786,1690371144,1581355,1662141
2.02E+11,80362,1690371145,1582690,1663052
2.02E+11,80758,1690371146,1581958,1662716
2.02E+11,80611,1690371147,1583409,1664020
2.02E+11,80534,1690371148,1583459,1663993
2.02E+11,80784,1690371149,1583500,1664284
2.02E+11,80740,1690371150,1584332,1665072
2.02E+11,80548,1690371151,1583253,1663801
2.02E+11,80887,1690371152,1584508,1665395
2.02E+11,80826,1690371153,1583108,1663934
2.02E+11,80553,1690371154,1583238,1663791
2.02E+11,80690,1690371155,1584148,1664838
2.02E+11,80684,1690371156,1582328,1663012
2.02E+11,80685,1690371157,1583913,1664598
2.02E+11,80516,1690371158,1582632,1663148
2.02E+11,80760,1690371159,1581812,1662572
2.02E+11,80712,1690371160,1582629,1663341
2.02E+11,80837,1690371161,1580768,1661605
2.02E+11,80494,1690371162,1580999,1661493
2.02E+11,80611,1690371163,1579669,1660280
2.02E+11,80963,1690371164,1580684,1661647
2.02E+11,81135,1690371165,1582188,1663323
2.02E+11,80613,1690371166,1580927,1661540
2.02E+11,81083,1690371167,1580373,1661456
2.02E+11,81258,1690371168,1580141,1661399
2.02E+11,81284,1690371169,1580796,1662080
2.02E+11,80814,1690371170,1579935,1660749
2.02E+11,81072,1690371171,1580262,1661334
2.02E+11,80993,1690371172,873848,954841
2.02E+11,80612,1690371173,874684,955296
2.02E+11,81087,1690371174,874592,955679
2.02E+11,81083,1690371175,876171,957254
2.02E+11,80485,1690371176,876554,957039
2.02E+11,81098,1690371177,876602,957700
2.02E+11,80833,1690371178,875972,956805
2.02E+11,81158,1690371179,875976,957134
2.02E+11,80869,1690371180,875242,956111
2.02E+11,81163,1690371181,875847,957010
2.02E+11,80387,1690371182,875325,955712
2.02E+11,81096,1690371183,876233,957329
2.02E+11,80684,1690371184,876208,956892
2.02E+11,80813,1690371185,875687,956500
2.02E+11,80859,1690371186,876624,957483
2.02E+11,80742,1690371187,876224,956966
2.02E+11,80815,1690371188,876911,957726
2.02E+11,80720,1690371189,876760,957480
2.02E+11,80728,1690371190,876336,957064
2.02E+11,80816,1690371191,875680,956496
2.02E+11,80975,1690371192,876287,957262
2.02E+11,80795,1690371193,876713,957508
2.02E+11,80861,1690371194,877816,958677
2.02E+11,80640,1690371195,876417,957057
2.02E+11,80908,1690371196,876317,957225
2.02E+11,80797,1690371197,876757,957554
2.02E+11,80646,1690371198,877067,957713
2.02E+11,80722,1690371199,874567,955289
2.02E+11,80968,1690371200,874864,955832
2.02E+11,80892,1690371201,874061,954953
2.02E+11,80371,1690371202,874745,955116
2.02E+11,80919,1690371203,874976,955895
2.02E+11,80870,1690371204,875620,956490
2.02E+11,80917,1690371205,875400,956317
2.02E+11,81030,1690371206,876344,957374
2.02E+11,81115,1690371207,876756,957871
2.02E+11,81136,1690371208,877575,958711
2.02E+11,80666,1690371209,876700,957366
2.02E+11,81018,1690371210,877263,958281
2.02E+11,80714,1690371211,876226,956940
2.02E+11,80633,1690371212,876189,956822
2.02E+11,80940,1690371213,875434,956374
2.02E+11,81301,1690371214,875079,956380
2.02E+11,80649,1690371215,875437,956086
2.02E+11,80622,1690371216,875271,955893
2.02E+11,80902,1690371217,875270,956172
2.02E+11,80865,1690371218,875054,955919
2.02E+11,80691,1690371219,874584,955275
2.02E+11,80927,1690371220,874659,955586
2.02E+11,80354,1690371221,875564,955918
2.02E+11,81038,1690371222,876051,957089
2.02E+11,81011,1690371223,876355,957366
2.02E+11,81062,1690371224,876322,957384
2.02E+11,80846,1690371225,876150,956996
2.02E+11,80969,1690371226,876698,957667
2.02E+11,80583,1690371227,875687,956270
2.02E+11,80670,1690371228,874958,955628
2.02E+11,80627,1690371229,873901,954528
2.02E+11,80770,1690371230,873320,954090
2.02E+11,80907,1690371231,873843,954750
2.02E+11,80605,1690371232,875113,955718
2.02E+11,80980,1690371233,874358,955338
2.02E+11,80622,1690371234,875019,955641
2.02E+11,80630,1690371235,875566,956196
2.02E+11,80607,1690371236,876547,957154
2.02E+11,80759,1690371237,875369,956128
2.02E+11,80881,1690371238,874863,955744
2.02E+11,80918,1690371239,875906,956824
2.02E+11,80400,1690371240,876230,956630
2.02E+11,80713,1690371241,876622,957335
2.02E+11,80456,1690371242,875728,956184
2.02E+11,81074,1690371243,875194,956268
2.02E+11,80775,1690371244,876046,956821
2.02E+11,80389,1690371245,875643,956032
2.02E+11,80877,1690371246,876639,957516
2.02E+11,80206,1690371247,876428,956634
2.02E+11,80620,1690371248,877076,957696
2.02E+11,80942,1690371249,875692,956634
2.02E+11,80724,1690371250,875407,956131
2.02E+11,80543,1690371251,874724,955267
2.02E+11,80548,1690371252,875814,956362
2.02E+11,80780,1690371253,875854,956634
2.02E+11,80711,1690371255,877242,957953
2.02E+11,80912,1690371256,877109,958021
2.02E+11,80724,1690371257,876851,957575
2.02E+11,80720,1690371258,872276,952996
2.02E+11,80759,1690371259,875572,956331
2.02E+11,80595,1690371260,875032,955627
2.02E+11,80979,1690371261,874079,955058
2.02E+11,80747,1690371262,874005,954752
2.02E+11,80563,1690371263,872752,953315
2.02E+11,80474,1690371264,873434,953908
2.02E+11,80995,1690371265,873472,954467
2.02E+11,80399,1690371266,874744,955143
2.02E+11,80692,1690371267,875070,955762
2.02E+11,80797,1690371268,876228,957025
2.02E+11,81141,1690371269,876295,957436
2.02E+11,80994,1690371270,876593,957587
2.02E+11,80788,1690371271,875480,956268
