ID,AcPower(usb风扇,TimeT,AcPower(电吹风）,总
2.02E+11,75638,1692086283,876224,951862
2.02E+11,75243,1692086284,876911,952154
2.02E+11,76182,1692086285,876760,952942
2.02E+11,76610,1692086286,876336,952946
2.02E+11,75933,1692086287,875680,951613
2.02E+11,74834,1692086288,876287,951121
2.02E+11,75284,1692086289,876713,951997
2.02E+11,75406,1692086290,877816,953222
2.02E+11,76005,1692086291,876417,952422
2.02E+11,75955,1692086292,876317,952272
2.02E+11,75216,1692086293,876757,951973
2.02E+11,75360,1692086294,877067,952427
2.02E+11,75678,1692086295,874567,950245
2.02E+11,75251,1692086296,874864,950115
2.02E+11,74736,1692086297,874061,948797
2.02E+11,75183,1692086298,874745,949928
2.02E+11,75430,1692086299,874976,950406
2.02E+11,74869,1692086300,875620,950489
2.02E+11,75030,1692086301,875400,950430
2.02E+11,75404,1692086302,876344,951748
2.02E+11,74909,1692086303,876756,951665
2.02E+11,75336,1692086304,877575,952911
2.02E+11,74940,1692086305,876700,951640
2.02E+11,74453,1692086306,877263,951716
2.02E+11,74069,1692086307,876226,950295
2.02E+11,74968,1692086308,876189,951157
2.02E+11,75445,1692086309,875434,950879
2.02E+11,75321,1692086310,875079,950400
2.02E+11,74446,1692086311,875437,949883
2.02E+11,74811,1692086312,875271,950082
2.02E+11,75685,1692086313,875270,950955
2.02E+11,75007,1692086314,875054,950061
2.02E+11,75646,1692086315,874584,950230
2.02E+11,75681,1692086316,874659,950340
2.02E+11,75707,1692086317,875564,951271
2.02E+11,75676,1692086318,876051,951727
2.02E+11,75524,1692086319,876355,951879
2.02E+11,75403,1692086320,876322,951725
2.02E+11,75577,1692086321,876150,951727
2.02E+11,75806,1692086322,876698,952504
2.02E+11,75411,1692086323,875687,951098
2.02E+11,75464,1692086324,874958,950422
2.02E+11,75432,1692086325,873901,949333
2.02E+11,76037,1692086326,873320,949357
2.02E+11,75547,1692086327,873843,949390
2.02E+11,75982,1692086328,875113,951095
2.02E+11,75634,1692086329,874358,949992
2.02E+11,75221,1692086330,875019,950240
2.02E+11,76258,1692086331,875566,951824
2.02E+11,75614,1692086332,876547,952161
2.02E+11,75941,1692086333,875369,951310
2.02E+11,75973,1692086334,874863,950836
2.02E+11,74958,1692086335,875906,950864
2.02E+11,75783,1692086336,876230,952013
2.02E+11,75934,1692086337,876622,952556
2.02E+11,75189,1692086338,875728,950917
2.02E+11,75047,1692086339,875194,950241
2.02E+11,75892,1692086340,876046,951938
2.02E+11,76024,1692086341,875643,951667
2.02E+11,75529,1692086342,876639,952168
2.02E+11,75433,1692086343,876428,951861
2.02E+11,75908,1692086344,877076,952984
2.02E+11,75818,1692086345,875692,951510
2.02E+11,75647,1692086346,875407,951054
2.02E+11,75687,1692086347,874724,950411
2.02E+11,75637,1692086348,875814,951451
2.02E+11,75376,1692086349,875854,951230
2.02E+11,75496,1692086350,877242,952738
2.02E+11,75384,1692086351,877109,952493
2.02E+11,75402,1692086352,876851,952253
2.02E+11,74602,1692086353,872276,946878
2.02E+11,75555,1692086354,875572,951127
2.02E+11,75200,1692086355,875032,950232
2.02E+11,75529,1692086356,874079,949608
2.02E+11,75214,1692086357,874005,949219
2.02E+11,76012,1692086358,872752,948764
2.02E+11,75914,1692086359,873434,949348
2.02E+11,76381,1692086360,873472,949853
2.02E+11,76077,1692086361,874744,950821
2.02E+11,75709,1692086362,875070,950779
2.02E+11,75522,1692086363,876228,951750
2.02E+11,76076,1692086364,876295,952371
2.02E+11,76076,1692086365,876593,952669
2.02E+11,75858,1692086366,875480,951338
2.02E+11,76013,1692086367,875985,951998
2.02E+11,76182,1692086368,876223,952405
2.02E+11,76076,1692086369,875667,951743
2.02E+11,76267,1692086370,876188,952455
2.02E+11,74828,1692086371,875741,950569
2.02E+11,75139,1692086372,876174,951313
2.02E+11,75206,1692086373,876009,951215
2.02E+11,75909,1692086374,876143,952052
2.02E+11,75424,1692086375,876029,951453
2.02E+11,75402,1692086376,876264,951666
2.02E+11,75383,1692086377,876251,951634
2.02E+11,75435,1692086378,876336,951771
2.02E+11,75362,1692086379,876720,952082
2.02E+11,75693,1692086380,878093,953786
2.02E+11,75196,1692086381,878578,953774
2.02E+11,76193,1692086382,877873,954066
2.02E+11,75491,1692086383,877641,953132
2.02E+11,75212,1692086384,876538,951750
2.02E+11,75916,1692086385,876918,952834
2.02E+11,76115,1692086386,875306,951421
2.02E+11,76128,1692086387,875573,951701
2.02E+11,75618,1692086388,876605,952223
2.02E+11,75403,1692086389,876577,951980
2.02E+11,75524,1692086390,877710,953234
2.02E+11,76321,1692086391,877026,953347
2.02E+11,75967,1692086392,878645,954612
2.02E+11,76009,1692086393,878884,954893
2.02E+11,75796,1692086394,878954,954750
2.02E+11,76193,1692086395,879160,955353
2.02E+11,76084,1692086396,877909,953993
2.02E+11,76545,1692086396,878819,955364
2.02E+11,75896,1692086398,878776,954672
2.02E+11,75128,1692086399,877856,952984
2.02E+11,75835,1692086400,876254,952089
2.02E+11,76466,1692086401,877363,953829
2.02E+11,75593,1692086402,877925,953518
2.02E+11,75357,1692086403,877743,953100
2.02E+11,75134,1692086404,877792,952926
2.02E+11,75421,1692086405,878422,953843
2.02E+11,75321,1692086406,877956,953277
2.02E+11,75353,1692086407,878079,953432
2.02E+11,75788,1692086408,877624,953412
2.02E+11,75360,1692086409,878110,953470
2.02E+11,75046,1692086410,879140,954186
2.02E+11,75413,1692086411,879193,954606
2.02E+11,75536,1692086412,879157,954693
2.02E+11,74528,1692086413,877652,952180
2.02E+11,74433,1692086414,878009,952442
2.02E+11,75414,1692086415,877805,953219
2.02E+11,74994,1692086416,877813,952807
2.02E+11,74834,1692086417,875625,950459
2.02E+11,74762,1692086418,877270,952032
2.02E+11,75297,1692086419,877701,952998
2.02E+11,74519,1692086420,876746,951265
2.02E+11,75099,1692086421,877484,952583
2.02E+11,75081,1692086422,878281,953362
2.02E+11,75710,1692086423,879395,955105
2.02E+11,76076,1692086424,878876,954952
2.02E+11,75987,1692086425,877660,953647
2.02E+11,74635,1692086426,879176,953811
2.02E+11,75536,1692086427,878445,953981
2.02E+11,75641,1692086428,878041,953682
2.02E+11,75455,1692086429,877838,953293
2.02E+11,75705,1692086430,877624,953329
2.02E+11,74978,1692086431,878242,953220
2.02E+11,76069,1692086432,877524,953593
2.02E+11,75905,1692086433,878205,954110
2.02E+11,75895,1692086434,878858,954753
2.02E+11,75750,1692086435,878373,954123
2.02E+11,75794,1692086436,878580,954374
2.02E+11,76275,1692086437,877096,953371
2.02E+11,76071,1692086438,878961,955032
2.02E+11,76186,1692086439,879673,955859
2.02E+11,75984,1692086440,879728,955712
2.02E+11,75958,1692086441,880248,956206
2.02E+11,75753,1692086442,878457,954210
2.02E+11,76113,1692086443,878514,954627
2.02E+11,76137,1692086444,878298,954435
2.02E+11,75366,1692086445,877824,953190
2.02E+11,75780,1692086446,875986,951766
2.02E+11,75841,1692086447,878293,954134
2.02E+11,75608,1692086448,877349,952957
2.02E+11,75696,1692086449,879523,955219
2.02E+11,75174,1692086450,879266,954440
2.02E+11,74722,1692086451,879509,954231
2.02E+11,75859,1692086452,879892,955751
2.02E+11,75379,1692086453,880219,955598
2.02E+11,75784,1692086454,880261,956045
2.02E+11,75135,1692086455,878913,954048
2.02E+11,75381,1692086456,879523,954904
2.02E+11,75723,1692086457,880274,955997
2.02E+11,75480,1692086458,878810,954290
2.02E+11,75070,1692086459,878613,953683
2.02E+11,75464,1692086460,878428,953892
2.02E+11,75487,1692086461,877773,953260
2.02E+11,76108,1692086462,878613,954721
2.02E+11,75517,1692086463,878325,953842
2.02E+11,75023,1692086464,878532,953555
2.02E+11,75356,1692086465,878394,953750
2.02E+11,75817,1692086466,878780,954597
2.02E+11,75545,1692086467,878897,954442
2.02E+11,75208,1692086468,878792,954000
2.02E+11,75643,1692086469,878916,954559
2.02E+11,75944,1692086470,878879,954823
2.02E+11,76017,1692086471,878569,954586
2.02E+11,75382,1692086472,879576,954958
2.02E+11,75076,1692086473,878911,953987
2.02E+11,75250,1692086474,878906,954156
2.02E+11,75949,1692086475,879141,955090
2.02E+11,75888,1692086476,878155,954043
2.02E+11,75766,1692086477,877932,953698
2.02E+11,74972,1692086478,879014,953986
2.02E+11,75348,1692086479,879274,954622
2.02E+11,75492,1692086480,878996,954488
2.02E+11,75304,1692086481,879303,954607
2.02E+11,75028,1692086482,877417,952445
2.02E+11,75025,1692086483,878172,953197
2.02E+11,76080,1692086484,878892,954972
2.02E+11,75739,1692086485,879709,955448
2.02E+11,76033,1692086486,879773,955806
2.02E+11,76012,1692086487,879255,955267
2.02E+11,75667,1692086488,878438,954105
2.02E+11,75732,1692086489,878151,953883
2.02E+11,76320,1692086490,878203,954523
2.02E+11,75957,1692086491,879358,955315
2.02E+11,75780,1692086492,879521,955301
2.02E+11,76255,1692086493,878417,954672
2.02E+11,75400,1692086494,878897,954297
2.02E+11,76339,1692086495,878410,954749
2.02E+11,76140,1692086496,878214,954354
2.02E+11,75611,1692086497,878853,954464
2.02E+11,75599,1692086498,878474,954073
2.02E+11,76444,1692086499,878249,954693
2.02E+11,75951,1692086500,878716,954667
2.02E+11,75478,1692086501,880046,955524
2.02E+11,75135,1692086502,879869,955004
2.02E+11,75195,1692086503,878978,954173
2.02E+11,75734,1692086504,880012,955746
2.02E+11,75723,1692086505,879595,955318
2.02E+11,75466,1692086506,879698,955164
2.02E+11,74918,1692086507,879523,954441
2.02E+11,75757,1692086508,880351,956108
2.02E+11,76115,1692086509,880074,956189
2.02E+11,75512,1692086510,880274,955786
2.02E+11,75620,1692086511,879735,955355
2.02E+11,75562,1692086512,880421,955983
2.02E+11,75731,1692086513,878521,954252
2.02E+11,75794,1692086514,876246,952040
2.02E+11,75400,1692086515,876559,951959
2.02E+11,75538,1692086516,876643,952181
2.02E+11,75526,1692086517,877711,953237
2.02E+11,76456,1692086518,877981,954437
2.02E+11,76399,1692086519,877681,954080
2.02E+11,76160,1692086520,878098,954258
2.02E+11,75515,1692086521,878750,954265
2.02E+11,75386,1692086522,879375,954761
2.02E+11,75589,1692086523,879084,954673
2.02E+11,75450,1692086524,878239,953689
2.02E+11,75507,1692086525,877215,952722
2.02E+11,75799,1692086526,876520,952319
2.02E+11,75925,1692086527,879057,954982
2.02E+11,75931,1692086528,879940,955871
2.02E+11,75365,1692086529,879100,954465
2.02E+11,74558,1692086530,880472,955030
2.02E+11,75149,1692086531,880826,955975
2.02E+11,74930,1692086532,879911,954841
2.02E+11,75347,1692086533,880052,955399
2.02E+11,74372,1692086534,880129,954501
2.02E+11,74560,1692086535,880480,955040
2.02E+11,75348,1692086536,881143,956491
2.02E+11,75140,1692086537,880955,956095
2.02E+11,75042,1692086538,880599,955641
2.02E+11,75101,1692086539,879899,955000
2.02E+11,75562,1692086540,880564,956126
2.02E+11,75702,1692086541,879634,955336
2.02E+11,75807,1692086542,879287,955094
2.02E+11,75731,1692086543,877918,953649
2.02E+11,76222,1692086544,878363,954585
2.02E+11,76002,1692086545,879257,955259
2.02E+11,76158,1692086546,879448,955606
2.02E+11,75650,1692086546,879672,955322
2.02E+11,75731,1692086548,879606,955337
2.02E+11,75636,1692086549,879968,955604
2.02E+11,75791,1692086550,880249,956040
2.02E+11,76098,1692086551,881016,957114
2.02E+11,75958,1692086552,881678,957636
2.02E+11,75983,1692086553,880874,956857
2.02E+11,75793,1692086554,880461,956254
2.02E+11,76144,1692086555,880430,956574
2.02E+11,75487,1692086556,879839,955326
2.02E+11,75229,1692086557,880008,955237
2.02E+11,74492,1692086558,880222,954714
2.02E+11,75930,1692086559,880121,956051
2.02E+11,75541,1692086560,879054,954595
2.02E+11,75208,1692086561,879252,954460
2.02E+11,74841,1692086562,878930,953771
2.02E+11,75655,1692086563,879157,954812
2.02E+11,75364,1692086564,879315,954679
2.02E+11,75157,1692086565,879938,955095
2.02E+11,74810,1692086566,879599,954409
2.02E+11,75304,1692086567,880002,955306
2.02E+11,75792,1692086568,879999,955791
2.02E+11,75794,1692086569,879837,955631
2.02E+11,75979,1692086570,880133,956112
2.02E+11,75367,1692086571,880880,956247
2.02E+11,75849,1692086572,880677,956526
2.02E+11,75528,1692086573,879710,955238
2.02E+11,75057,1692086574,880860,955917
2.02E+11,74773,1692086575,880421,955194
2.02E+11,75631,1692086576,881037,956668
2.02E+11,75840,1692086577,880329,956169
2.02E+11,75109,1692086578,881106,956215
2.02E+11,75823,1692086579,880419,956242
2.02E+11,75473,1692086580,880257,955730
2.02E+11,75391,1692086581,880119,955510
2.02E+11,76049,1692086582,879676,955725
2.02E+11,75727,1692086583,879447,955174
2.02E+11,76202,1692086584,879903,956105
2.02E+11,75741,1692086585,880630,956371
2.02E+11,76681,1692086586,879520,956201
2.02E+11,76385,1692086587,880430,956815
2.02E+11,76692,1692086588,880621,957313
2.02E+11,75517,1692086589,879902,955419
2.02E+11,75796,1692086590,879949,955745
2.02E+11,75878,1692086591,879343,955221
2.02E+11,76386,1692086592,880325,956711
2.02E+11,75932,1692086593,879622,955554
2.02E+11,76086,1692086594,880865,956951
2.02E+11,75463,1692086595,881039,956502
2.02E+11,75816,1692086596,880773,956589
2.02E+11,75864,1692086597,880011,955875
2.02E+11,75720,1692086598,879434,955154
2.02E+11,76009,1692086599,880269,956278
2.02E+11,75844,1692086600,879961,955805
2.02E+11,75624,1692086601,879589,955213
2.02E+11,75442,1692086602,879479,954921
2.02E+11,75608,1692086603,879868,955476
2.02E+11,75220,1692086604,878843,954063
2.02E+11,75596,1692086605,879595,955191
2.02E+11,75963,1692086606,880446,956409
2.02E+11,75075,1692086607,879431,954506
2.02E+11,74904,1692086608,878148,953052
2.02E+11,75275,1692086609,878865,954140
2.02E+11,75265,1692086610,879086,954351
2.02E+11,75248,1692086611,879368,954616
2.02E+11,74925,1692086612,880229,955154
2.02E+11,75140,1692086613,880615,955755
2.02E+11,75454,1692086614,879114,954568
2.02E+11,75109,1692086615,879784,954893
2.02E+11,75679,1692086616,879638,955317
2.02E+11,76022,1692086617,879974,955996
2.02E+11,76341,1692086618,880348,956689
2.02E+11,76803,1692086619,878545,955348
2.02E+11,76178,1692086620,877914,954092
2.02E+11,75672,1692086621,879123,954795
2.02E+11,76182,1692086622,879784,955966
2.02E+11,75796,1692086623,879743,955539
2.02E+11,76156,1692086624,880190,956346
2.02E+11,76670,1692086625,880457,957127
2.02E+11,76378,1692086626,879982,956360
2.02E+11,76474,1692086627,880867,957341
2.02E+11,76525,1692086628,881299,957824
2.02E+11,75293,1692086629,879691,954984
2.02E+11,75881,1692086630,879958,955839
2.02E+11,75460,1692086631,880459,955919
2.02E+11,74976,1692086632,880307,955283
2.02E+11,75720,1692086633,879335,955055
2.02E+11,75780,1692086634,879756,955536
2.02E+11,75855,1692086635,880009,955864
2.02E+11,75781,1692086636,879130,954911
2.02E+11,75838,1692086637,880175,956013
2.02E+11,75789,1692086638,879788,955577
2.02E+11,76176,1692086639,878398,954574
2.02E+11,75368,1692086640,880085,955453
2.02E+11,75388,1692086641,880019,955407
2.02E+11,75766,1692086642,880147,955913
2.02E+11,75676,1692086643,880556,956232
2.02E+11,75952,1692086644,879891,955843
2.02E+11,75415,1692086645,879640,955055
2.02E+11,75965,1692086646,882183,958148
2.02E+11,75614,1692086647,880934,956548
2.02E+11,75266,1692086648,881139,956405
2.02E+11,75247,1692086649,880539,955786
2.02E+11,75956,1692086650,878389,954345
2.02E+11,75725,1692086651,879566,955291
2.02E+11,75304,1692086652,879741,955045
2.02E+11,75760,1692086653,880919,956679
2.02E+11,75401,1692086654,880271,955672
2.02E+11,75468,1692086655,881534,957002
2.02E+11,75774,1692086656,881376,957150
2.02E+11,75929,1692086657,541073,617002
2.02E+11,75154,1692086658,541173,616327
2.02E+11,75878,1692086659,540839,616717
2.02E+11,75656,1692086660,541163,616819
2.02E+11,75422,1692086661,540586,616008
2.02E+11,75684,1692086662,540262,615946
2.02E+11,75695,1692086663,539365,615060
2.02E+11,76055,1692086664,540075,616130
2.02E+11,76183,1692086665,540110,616293
2.02E+11,75739,1692086666,539924,615663
2.02E+11,75914,1692086667,539562,615476
2.02E+11,75716,1692086668,541050,616766
2.02E+11,76423,1692086669,540754,617177
2.02E+11,75308,1692086670,540967,616275
2.02E+11,75554,1692086671,540859,616413
2.02E+11,76075,1692086672,541049,617124
2.02E+11,76559,1692086673,541591,618150
2.02E+11,76234,1692086674,540873,617107
2.02E+11,76039,1692086675,540951,616990
2.02E+11,75908,1692086676,540914,616822
2.02E+11,75296,1692086677,541184,616480
2.02E+11,76349,1692086678,540902,617251
2.02E+11,75941,1692086679,540937,616878
2.02E+11,75955,1692086680,541180,617135
2.02E+11,75598,1692086681,541045,616643
2.02E+11,75672,1692086682,540942,616614
2.02E+11,75646,1692086683,540516,616162
2.02E+11,75248,1692086684,540986,616234
2.02E+11,75345,1692086685,540588,615933
2.02E+11,75548,1692086686,540531,616079
2.02E+11,75616,1692086687,540128,615744
2.02E+11,75628,1692086688,540067,615695
2.02E+11,75036,1692086689,540245,615281
2.02E+11,74904,1692086690,540303,615207
2.02E+11,75773,1692086691,539733,615506
2.02E+11,75420,1692086692,540728,616148
2.02E+11,75745,1692086693,540587,616332
2.02E+11,74458,1692086694,541185,615643
2.02E+11,75608,1692086695,540885,616493
2.02E+11,75481,1692086696,540212,615693
2.02E+11,75572,1692086697,539936,615508
2.02E+11,75318,1692086697,540214,615532
2.02E+11,74965,1692086699,539445,614410
2.02E+11,75640,1692086700,540673,616313
2.02E+11,76077,1692086701,540667,616744
2.02E+11,75834,1692086702,540645,616479
2.02E+11,75198,1692086703,540091,615289
2.02E+11,76292,1692086704,540362,616654
2.02E+11,75748,1692086705,540704,616452
2.02E+11,75888,1692086706,540034,615922
2.02E+11,75534,1692086707,541230,616764
2.02E+11,75529,1692086708,540480,616009
2.02E+11,75578,1692086709,540650,616228
2.02E+11,76188,1692086710,540825,617013
2.02E+11,75315,1692086711,540892,616207
2.02E+11,76018,1692086712,539552,615570
2.02E+11,76145,1692086713,540455,616600
2.02E+11,76445,1692086714,538725,615170
2.02E+11,75835,1692086715,540108,615943
2.02E+11,76286,1692086716,539734,616020
2.02E+11,76287,1692086717,539768,616055
2.02E+11,76031,1692086718,540022,616053
2.02E+11,76123,1692086719,539954,616077
2.02E+11,75829,1692086720,540563,616392
2.02E+11,75827,1692086721,540414,616241
2.02E+11,74471,1692086722,540033,614504
2.02E+11,75850,1692086723,540235,616085
2.02E+11,75138,1692086724,540292,615430
2.02E+11,75042,1692086725,539744,614786
2.02E+11,74730,1692086726,539499,614229
2.02E+11,75092,1692086727,538184,613276
2.02E+11,75333,1692086728,538154,613487
2.02E+11,74941,1692086729,539806,614747
2.02E+11,75085,1692086730,539101,614186
2.02E+11,75053,1692086731,539787,614840
2.02E+11,75419,1692086732,540304,615723
2.02E+11,75714,1692086733,539662,615376
2.02E+11,74793,1692086734,539733,614526
2.02E+11,75272,1692086735,540454,615726
2.02E+11,75904,1692086736,540070,615974
2.02E+11,76231,1692086737,540652,616883
